     n      repetitions       time
     0        23200384       0.000000
    10         4786373       0.000000
    20         1354020       0.000001
    30          628474       0.000002
    40          360632       0.000003
    50          233837       0.000004
    60          163568       0.000006
    70          121370       0.000008
    80           93187       0.000011
    90           73991       0.000014
   100           60105       0.000017
   200           15049       0.000067
   300            6813       0.000149
   400            3880       0.000261
   500            2508       0.000404
   600            1746       0.000581
   700            1284       0.000790
   800             985       0.001029
   900             779       0.001302
  1000             630       0.001610
  1100             522       0.001943
  1200             438       0.002315
  1300             367       0.002763
  1400             322       0.003149
  1500             280       0.003621
  1600             247       0.004105
  1700             219       0.004630
  1800             192       0.005208
  1900             175       0.005794
  2000             156       0.006500
